Company Name,Batch,Description,Founder Names,Founder LinkedIn URLs
Zenflow,Zenflow,,,"https://www.linkedin.com/company/torix-medical, https://www.linkedin.com/pub/shreya-mehta/5/57/49a, https://www.linkedin.com/pub/shreya-mehta/5/57/49a"
Alchemy,SUMMER 2014,,,"https://www.linkedin.com/in/khanjandesai/, https://www.linkedin.com/in/khanjandesai/, https://www.linkedin.com/in/chongshen/, https://www.linkedin.com/in/chongshen/, https://www.linkedin.com/company/alchemynano/"
Cleanly,WINTER 2015,,,"http://www.linkedin.com/in/tomharari/, http://www.linkedin.com/in/tomharari/, http://www.linkedin.com/in/atlaschen, http://www.linkedin.com/in/atlaschen, https://www.linkedin.com/in/itayforer, https://www.linkedin.com/in/itayforer, https://www.linkedin.com/company/cleanly/about/"
Mantle,Team Size:,,,"https://linkedin.com/in/samrathchadha, https://linkedin.com/in/samrathchadha, https://www.linkedin.com/in/gparanjape/, https://www.linkedin.com/in/gparanjape/, https://www.linkedin.com/company/mantle-work"
Freeport Markets,Freeport Markets,,,"https://www.linkedin.com/in/lihong062/, https://www.linkedin.com/in/lihong062/, https://www.linkedin.com/in/bryan1738/, https://www.linkedin.com/in/bryan1738/, https://www.linkedin.com/company/freeportmarkets"
Clear,Summer 2014,,,"https://www.linkedin.com/company/cleartaxindia/, https://www.linkedin.com/in/architgupta, https://www.linkedin.com/in/architgupta, https://in.linkedin.com/in/ankitsolanki, https://in.linkedin.com/in/ankitsolanki"
Flaviar,Summer 2014,,,"https://www.linkedin.com/company/flaviar/about/, https://www.linkedin.com/in/jugoslav, https://www.linkedin.com/in/jugoslav, https://www.linkedin.com/in/matijarijavec/, https://www.linkedin.com/in/matijarijavec/, https://www.linkedin.com/in/grisasoba, https://www.linkedin.com/in/grisasoba"
FundersClub,FundersClub,,,"https://www.linkedin.com/in/alexandermittal/, https://www.linkedin.com/in/alexandermittal/, https://www.linkedin.com/in/borismsilver/, https://www.linkedin.com/in/borismsilver/"
GOAT Group,Winter 2011,,,"https://www.linkedin.com/company/goat-group, https://www.linkedin.com/in/eddylu/, https://www.linkedin.com/in/eddylu/, https://www.linkedin.com/in/sensugano, https://www.linkedin.com/in/sensugano"
Zenefits,Zenefits,,,"http://www.linkedin.com/in/lakssrini, http://www.linkedin.com/in/lakssrini"
CodeCombat,Winter 2014,,,"http://linkedin.com/in/nwinter, http://linkedin.com/in/nwinter, https://www.linkedin.com/company/codecombat"
